Wavelength (μm),Flux (Center Region),Error (Center Region),Flux (Ring Region),Error (Ring Region)
4.93216365420142,3469.999281518253,51.82148789725363,98.07951882444782,14.017897267666008
4.9329508481106945,3472.1680335527585,47.97405733191741,96.79237441074702,14.058453997417265
4.933738042019969,3468.8279976550443,47.43937772049271,103.64105111581308,13.552654940220037
4.934525235929243,3446.5548600561824,51.34915492079524,88.72673618646316,12.840879577224756
4.935312429838517,3431.434083915051,57.752246574020724,94.07810762193468,12.59920781174502
4.936099623747792,3467.4486780990787,60.85210253345624,91.50208960639105,12.894585987878596
4.936886817657066,3465.908787480107,56.67673177687961,89.11597659264082,12.92895078829773
4.93767401156634,3480.4341008692613,50.9894702916589,95.63670254931037,13.165135431209636
4.9384612054756145,3484.786449291088,48.231616159763,87.90431147445867,13.041924660820108
4.939248399384889,3489.0156046549478,50.004283131295686,99.47729887785735,13.148130946189136
4.940035593294162,3484.3522745768228,54.66322775820444,94.36669441505715,12.861527332489327
4.9408227872034365,3474.817279956959,59.52665612795003,98.52001906029972,13.153007117210397
4.941609981112711,3459.2843560112847,59.53792380793504,97.75749498532142,13.720371352416333
4.942397175021985,3451.5842157057773,53.80738230118937,92.92689264556508,13.605396239440642
4.943184368931259,3447.13518684293,48.82921044776863,95.81957404996142,13.290835260330278
4.943971562840534,3453.312649197049,48.24652338260431,89.31772929062078,12.589865277141273
4.944758756749808,3476.471434039834,51.844892597450034,97.67482446741175,12.562232974843567
4.945545950659082,3482.884945339627,56.23133883673493,95.6137656694577,12.682475495545729
4.9463331445683565,3492.1306212625386,60.84149112722335,97.25389028478551,13.990929581882389
4.947120338477631,3479.267261646412,59.03316572456698,97.1029281616211,14.607923264494346
4.947907532386905,3464.6346827377506,52.53564221230085,90.93959167857228,14.454689887400608
4.948694726296179,3459.873538170332,48.7515364744831,98.37946498541184,14.277309461947686
4.949481920205454,3450.325692259235,49.31255113265622,92.66283289591472,13.52552772833989
4.950269114114728,3461.6845477068864,52.38104724157127,82.41024856567383,13.185690787156497
4.951056308024002,3464.853521276403,55.43812966954446,80.12078233412754,13.781801509624533
4.951843501933276,3471.062492841556,59.97578171913268,87.9562894091194,15.122611356316526
4.95263069584255,3493.331999225381,59.282412164626386,93.92417342574508,14.69036978082682
